ACC161812,2021,97.83320539998158,2023-01-09,Donn Luettgen
ACC143493,2022,92.92693272084242,2022-09-24,Miss Hugo Ferry
ACC143493,2021,74.93176161121194,2023-01-28,Miss Hugo Ferry
ACC143493,2021,34.823759456021364,2022-11-16,Miss Hugo Ferry
ACC143493,2021,95.04022090514758,2022-12-29,Miss Hugo Ferry
ACC143493,2022,99.98493108398618,2022-10-25,Miss Hugo Ferry
ACC143493,2021,65.19926311953165,2023-06-07,Miss Hugo Ferry
ACC143493,2021,95.388701084663,2022-11-06,Miss Hugo Ferry
ACC143493,2022,59.576298902765714,2022-12-22,Miss Hugo Ferry
ACC170283,2022,58.4201239074342,2023-02-19,Shawanda Mante
ACC170283,2022,85.31544060681819,2022-12-27,Shawanda Mante
ACC170283,2022,47.4359604529254,2023-06-20,Shawanda Mante
